date,year,month,rank,title,artist,weeks
2000-03-01,2000,3,72,Do What You Gotta Do,Garth Brooks,3
2000-03-01,2000,3,73,That's What I'm Looking For,Da Brat,2
2000-03-01,2000,3,74,Party Up (Up In Here),DMX,2
2000-03-01,2000,3,75,Carlene,Phil Vassar,1
2000-03-01,2000,3,76,No Leaf Clover,Metallica,4
2000-03-01,2000,3,77,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",9
2000-03-01,2000,3,78,Whoa!,Black Rob,1
2000-03-01,2000,3,79,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,4
2000-03-01,2000,3,80,"Left, Right, Left",Drama,4
2000-03-01,2000,3,81,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,1
2000-03-01,2000,3,82,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,2
2000-03-01,2000,3,83,I Learned From The Best,Whitney Houston,3
2000-03-01,2000,3,84,If You Love Me,Mint Condition,18
2000-03-01,2000,3,85,None Of Ur Friends Business,Ginuwine,13
2000-03-01,2000,3,86,It Was,Chely Wright,1
2000-03-01,2000,3,87,Daddy Won't Sell The Farm,Montgomery Gentry,1
2000-03-01,2000,3,88,Put Your Hand In Mine,Tracy Byrd,6
2000-03-01,2000,3,89,Candy,Mandy Moore,19
2000-03-01,2000,3,90,What's My Name,DMX,8
2000-03-01,2000,3,91,Re-arranged,Limp Bizkit,14
2000-03-01,2000,3,92,Stay Or Let It Go,Brian McKnight,2
2000-03-01,2000,3,93,Angels,Robbie Williams,16
2000-03-01,2000,3,94,Girl On TV,LFO,16
2000-03-01,2000,3,95,Still In My Heart,Tracie Spencer,1
2000-03-01,2000,3,96,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,8
2000-03-01,2000,3,97,U Understand,Juvenile,5
2000-03-01,2000,3,98,Guerrilla Radio,Rage Against the Machine,19
2000-03-01,2000,3,99,Freakin' It,Will Smith,4
2000-03-01,2000,3,100,Get Up,Amel Larrieux,1
2000-04-01,2000,4,1,Say My Name,Destiny's Child,15
2000-04-01,2000,4,2,Maria Maria,Santana Featuring The Product G&B,8
2000-04-01,2000,4,3,Breathe,Faith Hill,22
2000-04-01,2000,4,4,Amazed,Lonestar,35
2000-04-01,2000,4,5,Bye Bye Bye,*NSYNC,10
2000-04-01,2000,4,6,Show Me The Meaning Of Being Lonely,Backstreet Boys,14
2000-04-01,2000,4,7,Get It On Tonite,Montell Jordan,24
2000-04-01,2000,4,8,Smooth,Santana Featuring Rob Thomas,36
2000-04-01,2000,4,9,That's The Way It Is,Celine Dion,21
2000-04-01,2000,4,10,Thong Song,Sisqo,10
2000-04-01,2000,4,11,There You Go,P!nk,5
2000-04-01,2000,4,12,I Knew I Loved You,Savage Garden,24
2000-04-01,2000,4,13,It Feels So Good,Sonique,11
2000-04-01,2000,4,14,Never Let You Go,Third Eye Blind,11
2000-04-01,2000,4,15,I Try,Macy Gray,7
2000-04-01,2000,4,16,All The Small Things,blink-182,18
2000-04-01,2000,4,17,Everything You Want,Vertical Horizon,11
2000-04-01,2000,4,18,What A Girl Wants,Christina Aguilera,19
2000-04-01,2000,4,19,Bring It All To Me,Blaque,24
2000-04-01,2000,4,20,I Wanna Know,Joe,14
2000-04-01,2000,4,21,Back At One,Brian McKnight,32
2000-04-01,2000,4,22,I Need To Know,Marc Anthony,30
2000-04-01,2000,4,23,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip",19
2000-04-01,2000,4,24,Goodbye Earl,Dixie Chicks,3
2000-04-01,2000,4,25,Forgot About Dre,Dr. Dre Featuring Eminem,11
2000-04-01,2000,4,26,Only God Knows Why,Kid Rock,7
2000-04-01,2000,4,27,You Sang To Me,Marc Anthony,6
2000-04-01,2000,4,28,I Learned From The Best,Whitney Houston,7
2000-04-01,2000,4,29,I Like It,Sammie,10
2000-04-01,2000,4,30,Another Dumb Blonde,Hoku,7
2000-04-01,2000,4,31,Take A Picture,Filter,19
2000-04-01,2000,4,32,How Do You Like Me Now?!,Toby Keith,10
2000-04-01,2000,4,33,Then The Morning Comes,Smash Mouth,23
2000-04-01,2000,4,34,The Best Day,George Strait,10
2000-04-01,2000,4,35,From The Bottom Of My Broken Heart,Britney Spears,10
2000-04-01,2000,4,36,I Don't Wanna,Aaliyah,10
2000-04-01,2000,4,37,Otherside,Red Hot Chili Peppers,8
2000-04-01,2000,4,38,Try Again,Aaliyah,3
2000-04-01,2000,4,39,Untitled (How Does It Feel),D'Angelo,11
2000-04-01,2000,4,40,American Pie,Madonna,7
2000-04-01,2000,4,41,Higher,Creed,22
2000-04-01,2000,4,42,Lessons Learned,Tracy Lawrence,10
2000-04-01,2000,4,43,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,17
2000-04-01,2000,4,44,Party Up (Up In Here),DMX,6
